		4”Ôpush																																																																			
16	45	51.667	48	19	39	35	77	22	17	44	14	7	31	40	52	14	26	44	3	1	5	3	59	9	1	39	6	1	3	1	58	6	0	34	11	9	8	11	50	14	7	43	43	40	58	53	81	45	34	62	38	48	45	45	97	56	48	72	122	137	113	123	125	131	140	137	255	255	0
16	45	51.764	13	7	14	14	70	13	9	40	59	23	24	26	58	27	23	56	17	0	15	44	68	5	0	37	21	4	7	4	66	3	0	37	42	33	50	47	82	32	36	61	37	40	57	44	73	43	43	71	39	41	39	36	89	36	35	75	90	100	82	88	111	105	115	119	255	255	0
16	45	51.764	10	10	10	11	55	11	3	41	44	12	50	44	67	45	30	50	34	22	15	42	65	1	2	37	2	1	4	1	60	2	5	41	53	23	41	30	71	27	19	44	44	30	39	35	62	40	29	53	39	37	56	59	85	33	28	62	130	144	132	122	131	122	144	135	255	255	0
16	45	51.863	4	3	8	15	50	17	15	34	34	31	45	38	60	26	26	41	12	0	0	0	33	6	0	18	11	5	8	6	35	3	2	27	41	27	49	53	55	17	6	43	41	28	48	37	51	24	19	42	25	15	22	14	45	32	22	42	104	139	112	100	116	132	129	141	255	255	0
16	45	51.863	7	3	16	23	26	11	5	9	51	29	36	37	47	27	33	26	0	0	0	0	7	2	0	0	23	14	18	18	33	23	16	13	43	29	40	34	39	15	1	2	50	41	54	42	75	67	44	43	14	12	9	24	24	25	19	21	103	120	96	100	101	99	96	106	255	255	0
16	45	51.959	4	6	13	8	19	8	7	5	37	19	43	28	39	31	45	30	0	0	0	0	8	1	0	0	0	0	0	1	9	3	0	2	60	35	52	43	46	33	29	20	38	25	44	37	50	42	32	39	9	7	27	16	26	26	16	16	130	141	125	119	128	130	126	121	255	255	0
16	45	51.959	5	3	7	4	13	8	4	11	48	21	31	30	37	31	25	22	0	1	0	0	4	5	0	0	0	0	0	0	7	2	0	0	11	7	7	8	17	6	3	3	49	35	59	51	57	43	34	37	16	20	26	23	33	21	9	8	125	141	128	139	138	134	132	130	255	255	0
16	45	52.054	11	4	10	9	16	9	7	6	44	18	35	27	34	23	18	16	11	4	6	2	9	11	6	6	0	0	0	0	7	2	0	0	11	7	8	7	16	6	7	8	48	27	47	41	46	38	28	22	39	41	47	42	55	41	40	37	112	121	107	116	123	124	130	128	255	255	0
16	45	52.054	0	0	0	0	7	1	0	0	51	22	36	32	39	28	24	12	13	6	13	10	14	12	6	5	4	3	0	0	3	4	0	0	12	7	1	2	9	6	0	4	50	31	45	39	55	38	28	25	30	31	28	31	43	39	31	30	101	122	103	110	116	117	120	130	255	255	0
16	45	52.154	15	6	7	7	13	7	7	5	62	24	54	40	49	28	22	17	17	6	15	13	16	9	5	4	4	3	7	5	5	3	4	4	4	1	4	4	17	11	10	10	66	47	69	66	65	55	40	28	30	30	36	40	45	41	33	31	92	110	81	91	91	100	108	124	255	255	0
16	45	52.154	30	10	11	17	14	10	4	3	48	17	41	30	33	23	16	18	7	3	8	5	11	5	4	3	0	0	0	0	1	1	0	0	6	4	29	24	28	24	18	16	56	40	69	65	62	48	37	37	42	38	45	39	51	46	41	33	83	102	82	83	90	95	109	118	255	255	0
16	45	52.253	26	9	18	15	17	9	8	7	50	22	48	39	44	30	20	19	4	1	3	2	10	2	0	0	0	0	0	0	5	0	0	0	31	14	13	22	26	16	18	12	52	36	57	63	65	53	45	36	47	37	50	46	59	50	40	41	92	114	91	95	107	105	105	116	255	255	0
16	45	52.253	26	7	15	10	24	24	18	14	16	9	20	16	19	12	7	10	9	4	9	8	14	6	4	4	2	0	0	0	5	0	0	0	9	7	11	10	15	12	11	10	43	25	46	47	45	34	31	26	48	40	43	44	48	41	32	30	90	110	86	86	95	94	107	115	255	255	0
16	45	52.35	10	6	3	2	5	5	5	4	12	5	12	8	15	11	8	5	0	15	22	28	34	16	10	12	2	0	1	0	5	0	0	0	7	4	9	6	13	1	1	1	51	32	63	54	60	47	35	27	42	43	45	45	51	40	40	42	112	129	120	114	115	117	128	125	255	255	0
16	45	52.35	24	10	20	18	19	16	12	18	46	25	40	32	33	27	22	22	2	1	3	3	10	5	5	6	5	1	3	1	12	3	1	0	3	2	3	3	6	2	3	4	46	24	51	46	57	35	27	25	36	28	28	24	36	20	15	18	108	131	109	113	111	121	126	123	255	255	0
16	45	52.447	37	8	21	14	18	16	8	8	42	19	46	32	30	25	18	17	1	1	1	2	10	4	1	1	3	2	2	1	6	2	0	0	1	2	0	0	2	3	1	2	35	23	44	41	40	31	28	25	23	18	21	22	30	22	17	20	94	119	95	97	106	113	119	123	255	255	0
16	45	52.447	30	16	38	26	30	23	14	13	42	21	42	31	33	29	21	20	0	0	0	0	5	6	0	0	5	3	7	7	16	9	2	2	4	2	2	1	4	5	0	0	41	24	50	44	42	36	25	25	22	19	22	23	31	25	20	20	111	126	109	111	119	119	125	131	255	255	0
16	45	52.546	6	2	3	4	10	9	6	4	4	1	2	0	4	5	3	3	0	0	0	1	7	3	0	1	3	2	6	6	10	5	1	2	7	2	6	6	11	7	4	5	45	25	57	51	50	36	28	27	46	46	41	43	52	47	46	43	95	116	96	100	106	105	109	122	255	255	0
16	45	52.546	24	11	7	18	23	6	3	3	21	12	22	20	22	16	16	8	0	0	0	0	2	1	1	1	18	6	16	12	14	4	7	8	25	13	25	25	23	16	12	10	38	22	17	36	28	23	25	20	55	48	46	48	51	48	46	42	109	119	105	115	117	123	135	142	255	255	0
16	45	52.642	8	4	7	9	14	7	4	5	20	7	18	11	19	11	8	6	0	0	0	2	5	3	0	1	7	3	7	7	15	6	5	4	40	24	37	21	36	27	24	20	18	12	15	18	15	14	12	7	37	31	35	39	44	37	31	31	114	124	115	114	116	116	123	124	255	255	0
16	45	52.642	19	1	5	4	11	5	2	3	22	10	23	29	25	12	10	7	2	0	0	0	4	1	7	5	8	1	4	3	10	2	2	1	40	29	41	43	44	29	23	20	5	2	8	7	12	4	4	5	25	27	35	33	45	35	28	29	105	130	109	109	116	115	120	126	255	255	0
16	45	52.738	44	12	27	19	27	15	13	11	37	12	29	23	23	14	18	14	1	0	0	0	2	0	0	0	2	1	4	0	8	1	1	1	27	13	22	49	25	16	15	11	25	18	17	15	15	14	12	8	51	50	61	48	66	60	58	54	130	144	131	133	134	132	144	145	255	255	0
16	45	52.738	19	7	11	9	12	8	6	4	37	24	26	35	32	21	21	14	13	6	9	15	10	5	2	4	12	3	10	27	28	18	14	12	29	14	26	29	28	20	15	16	39	25	25	15	26	15	16	14	62	59	62	62	71	69	68	76	108	134	121	119	126	132	140	139	255	255	0
16	45	52.837	7	9	12	17	15	10	9	10	53	27	41	44	41	29	26	15	2	0	1	2	5	0	0	0	0	0	0	0	3	0	0	0	26	14	26	30	30	23	17	16	14	17	26	18	28	20	23	17	69	67	70	72	75	67	66	68	109	131	116	119	127	127	136	139	255	255	0
16	45	52.837	0	0	0	0	3	0	3	3	61	21	41	43	43	35	26	26	4	1	1	1	6	0	0	0	28	15	28	7	3	0	0	0	35	32	47	54	50	37	26	25	24	18	27	50	43	33	31	29	68	50	52	56	63	60	57	58	107	147	135	131	137	135	150	153	255	255	0
16	45	52.934	22	0	0	0	3	8	0	0	46	12	23	28	29	19	16	18	30	1	2	14	8	0	0	0	22	0	0	0	2	0	0	0	51	26	42	40	40	32	28	32	49	19	28	32	27	22	21	11	81	97	92	78	94	93	93	90	102	122	110	115	117	115	131	128	255	255	0
16	45	52.934	21	0	0	0	10	9	8	9	43	25	37	37	33	28	23	26	13	0	1	2	10	1	9	7	17	7	14	23	27	19	21	20	53	22	37	35	42	33	27	23	30	22	28	73	52	46	39	39	77	86	84	96	95	88	90	84	105	127	114	97	117	123	129	129	255	255	0
16	45	53.033	0	0	0	2	3	0	0	0	48	23	37	35	33	18	19	30	0	0	1	33	8	1	2	0	32	17	29	42	30	19	19	16	16	9	15	15	18	9	7	8	27	24	33	61	43	31	28	24	73	83	84	113	88	80	82	88	95	122	102	65	108	115	124	124	255	255	0
16	45	53.033	2	0	1	0	5	0	0	0	27	12	18	16	20	18	16	18	0	0	0	0	8	1	0	0	31	16	25	21	26	19	19	18	71	46	71	52	56	56	51	54	35	34	40	39	47	34	34	34	85	84	85	88	93	90	90	97	104	128	108	113	116	126	139	137	255	255	0
16	45	53.131	2	1	1	3	7	0	0	2	0	0	0	3	4	0	0	0	0	0	0	35	9	0	1	2	30	14	27	68	27	15	10	13	59	37	53	36	53	46	39	42	22	20	26	41	32	24	22	23	82	97	92	130	103	96	96	96	91	118	99	92	104	108	121	124	255	255	0
16	45	53.131	8	3	4	5	11	2	2	1	1	0	0	0	5	0	0	0	0	0	0	0	8	0	0	0	25	11	23	43	23	11	8	8	80	37	72	52	61	48	42	43	22	17	25	28	32	22	20	20	87	98	88	103	104	100	101	106	94	111	90	98	98	102	115	115	255	255	0
16	45	53.23	1	0	2	23	8	0	1	0	19	5	12	7	15	8	9	9	3	0	0	0	6	0	0	0	28	7	21	28	23	10	6	5	49	23	62	55	50	36	18	17	20	13	18	16	23	17	14	15	84	93	97	98	101	97	98	102	94	110	97	93	100	100	115	113	255	255	0
16	45	53.23	9	0	2	1	8	1	0	0	16	5	10	5	11	5	5	5	4	0	0	0	5	0	0	0	19	7	16	13	17	8	6	6	49	21	40	32	55	48	41	42	23	16	18	15	25	17	15	17	69	84	75	82	92	86	85	84	81	106	80	86	92	95	111	113	255	255	0
16	45	53.326	8	0	1	6	8	1	0	1	22	13	34	22	28	17	14	15	5	0	0	0	3	0	0	0	27	8	19	16	19	12	8	8	54	23	60	48	50	36	27	28	25	15	19	16	25	21	19	20	91	100	91	100	108	103	102	109	88	115	98	109	108	108	121	125	255	255	0
16	45	53.326	13	0	22	6	7	1	1	0	31	11	50	21	27	19	15	15	0	0	15	0	5	0	0	0	22	8	28	15	22	12	9	9	48	22	66	35	41	27	19	22	31	22	52	27	34	25	23	21	81	91	81	86	94	89	91	95	94	116	113	102	108	108	116	118	255	255	0
16	45	53.423	0	0	15	3	6	1	0	0	3	1	25	2	6	1	1	0	0	0	14	0	1	0	0	0	13	5	26	11	17	8	8	7	47	22	60	39	42	28	22	21	26	23	47	28	33	26	24	21	80	92	86	87	96	92	96	97	92	114	106	100	104	106	114	107	255	255	0
16	45	53.423	0	0	13	0	6	0	0	0	3	2	41	5	10	2	1	1	0	0	14	0	2	0	0	0	21	7	30	17	22	14	11	10	50	23	60	37	42	29	23	23	36	25	48	31	38	33	30	27	72	85	79	77	85	84	87	93	84	107	97	96	101	105	115	118	255	255	0
16	45	53.524	0	0	3	0	4	0	0	0	5	1	13	5	10	4	3	3	0	0	4	0	3	0	0	0	19	7	19	13	17	11	8	8	45	21	42	35	38	28	21	21	32	28	38	34	41	32	28	26	70	85	74	78	88	82	87	90	83	109	90	94	101	102	117	122	255	255	0
16	45	53.524	0	0	0	0	4	0	0	0	6	5	14	10	16	8	6	6	1	0	2	0	7	0	0	0	13	5	12	11	17	7	5	6	43	19	41	35	39	26	20	19	34	31	48	44	48	37	31	26	65	79	70	71	78	78	83	83	84	114	91	96	102	107	118	123	255	255	0
16	45	53.621	0	0	0	0	4	0	0	0	16	4	15	10	14	8	6	6	1	0	4	0	3	0	0	0	12	3	9	5	11	5	3	2	43	20	41	33	36	26	17	15	43	33	54	48	51	40	34	27	62	77	69	70	78	74	79	79	87	116	94	98	105	108	121	125	255	255	0
16	45	53.621	0	0	2	0	3	0	0	0	17	6	18	9	17	8	7	6	1	1	9	1	6	1	0	0	11	4	28	11	15	9	7	6	34	15	35	26	31	20	16	14	36	28	50	44	50	38	33	30	75	82	86	83	86	86	86	88	88	114	95	97	101	105	118	124	255	255	0
16	45	53.716	0	0	5	0	4	0	0	0	15	5	21	8	16	7	5	5	1	1	11	1	9	1	0	0	10	4	18	3	9	3	7	5	40	17	40	24	30	22	14	15	38	29	58	42	48	45	39	34	77	83	88	79	86	81	82	85	94	119	100	103	107	108	121	125	255	255	0
16	45	53.716	2	0	35	0	4	1	0	0	16	5	14	8	14	8	7	7	2	0	4	1	6	0	1	1	18	7	24	13	18	8	7	5	39	14	32	25	33	24	18	13	48	41	61	57	61	49	43	37	77	89	107	85	93	87	88	95	99	121	100	102	108	110	121	119	255	255	0
16	45	53.816	16	0	2	0	4	0	0	0	33	15	35	24	26	20	15	14	22	0	7	1	8	0	0	1	34	6	19	11	15	7	3	8	38	18	37	26	28	23	20	20	35	23	31	28	31	21	18	18	72	79	80	78	85	78	81	89	94	119	103	104	103	109	121	118	255	255	0
16	45	53.816	4	1	0	0	6	0	0	0	41	16	36	10	25	14	18	18	2	2	6	12	9	3	2	1	20	7	15	11	14	6	4	4	63	30	49	32	47	39	29	29	57	22	39	21	39	29	24	21	76	74	68	92	78	74	75	82	103	124	97	97	105	110	122	120	255	255	0
16	45	53.912	13	0	1	6	3	0	0	0	47	15	32	0	26	19	10	10	16	0	0	0	3	1	0	0	19	3	14	38	14	12	9	7	67	32	57	45	49	41	32	28	26	18	25	0	29	24	20	16	63	70	70	141	79	74	71	67	96	121	102	160	112	114	125	125	255	255	0
16	45	53.912	5	0	2	69	8	1	0	0	49	12	30	15	28	18	12	11	0	0	0	0	5	0	0	0	11	5	9	80	19	9	6	3	55	28	51	97	46	36	29	26	19	14	14	0	24	18	15	14	58	67	63	90	77	71	71	71	102	120	96	118	110	111	120	118	255	255	0
16	45	54.01	33	1	2	8	7	1	0	0	35	12	29	55	26	16	12	10	0	0	0	0	4	0	0	0	30	4	11	22	13	6	3	4	63	28	50	93	48	35	27	25	26	12	13	0	17	15	12	11	45	63	61	50	72	70	67	69	81	121	91	141	104	110	122	116	255	255	0
16	45	54.01	1	0	1	44	5	1	0	0	51	16	36	72	30	20	15	13	14	5	15	0	17	8	5	6	26	2	3	27	7	3	2	3	58	27	49	87	46	36	29	24	14	15	15	0	17	12	16	17	51	64	59	43	69	69	70	72	93	110	91	146	101	104	119	118	255	255	0
16	45	54.106	13	0	0	31	5	3	0	0	32	8	18	59	20	10	8	11	22	0	0	0	19	10	8	6	2	1	3	0	9	4	2	1	52	17	39	67	36	22	16	16	15	12	14	0	20	13	11	9	67	81	72	46	84	81	81	90	84	114	94	123	110	110	120	119	255	255	0
16	45	54.106	0	0	0	0	4	0	0	0	26	8	19	62	16	4	3	3	1	11	27	0	22	15	11	10	3	1	4	0	6	2	2	1	47	24	47	77	49	35	28	25	18	15	18	36	26	17	14	14	63	73	67	28	78	74	71	71	91	120	100	136	113	113	122	126	255	255	0
16	45	54.206	0	0	0	0	2	0	0	0	23	8	18	56	19	11	9	15	35	14	32	7	27	15	14	13	15	5	12	0	14	8	7	6	51	28	46	74	45	36	30	29	40	20	20	49	29	21	18	17	51	61	50	23	66	63	60	67	85	119	94	116	113	113	128	128	255	255	0
16	45	54.206	0	0	0	0	5	0	0	0	35	14	32	29	29	19	17	14	32	18	38	31	31	20	15	16	46	11	22	8	18	11	8	10	64	33	61	54	57	44	37	39	34	16	22	24	27	18	17	17	55	67	62	63	76	74	69	79	92	125	101	109	115	118	131	125	255	255	0
16	45	54.302	0	0	0	0	3	0	0	0	40	18	60	46	49	36	29	27	27	15	33	27	31	21	16	16	23	7	13	8	14	9	6	7	39	26	41	37	46	34	27	27	23	19	24	30	30	22	18	18	40	58	45	47	54	55	54	65	64	113	72	85	98	102	116	117	255	255	0
16	45	54.302	0	0	0	0	2	0	0	0	40	17	36	24	24	19	14	13	1	0	1	5	2	1	0	17	0	0	0	0	6	5	4	3	46	28	47	37	46	33	26	27	22	19	27	29	36	24	19	21	51	63	52	54	66	60	60	72	74	111	79	85	97	100	116	114	255	255	0
16	45	54.401	0	0	0	0	4	0	0	0	51	17	47	33	38	27	18	18	26	12	31	27	29	19	13	13	4	4	14	8	16	7	4	5	49	27	48	42	50	35	27	28	17	15	21	20	30	21	18	19	48	65	51	57	67	61	61	74	69	110	78	88	96	101	113	113	255	255	0
16	45	54.401	1	0	0	0	3	0	0	0	37	11	31	21	31	23	18	16	31	13	33	29	31	18	13	13	1	0	3	7	9	7	4	4	35	18	33	24	28	16	19	18	22	19	25	28	37	25	21	18	46	65	51	57	68	62	64	78	67	107	71	81	90	97	109	111	255	255	0
16	45	54.497	1	0	1	0	5	1	0	0	47	15	44	34	33	22	14	14	26	10	28	24	31	17	11	10	3	1	4	5	12	3	2	2	49	24	47	39	49	33	26	24	11	6	15	16	29	16	13	12	42	57	46	54	67	58	60	75	73	115	83	88	98	107	121	110	255	255	0
16	45	54.497	1	0	0	3	9	0	0	0	57	19	55	29	43	27	18	17	24	10	27	22	33	17	11	9	11	3	10	15	18	6	2	3	38	20	34	18	42	27	19	14	14	21	24	28	40	29	24	25	38	55	43	52	66	54	59	72	72	111	78	86	101	97	106	101	255	255	0
16	45	54.596	1	0	1	1	14	1	0	0	60	22	55	36	48	28	22	20	28	15	37	23	43	21	15	14	11	4	10	18	25	6	4	3	40	21	39	27	47	28	22	20	22	20	29	23	46	28	24	24	42	57	47	56	67	55	58	67	72	109	80	90	97	101	113	107	255	255	0
16	45	54.596	1	0	1	8	16	0	0	0	66	21	59	38	50	31	22	21	26	9	27	16	34	16	11	10	14	4	13	18	26	8	4	4	28	12	26	20	33	15	9	9	20	19	28	21	46	25	21	22	38	56	45	53	71	55	57	68	66	105	73	86	99	94	109	109	255	255	0
16	45	54.693	1	0	1	6	20	1	0	0	68	22	65	43	54	31	21	20	31	11	28	17	38	17	11	10	6	2	6	10	24	4	2	2	43	21	39	38	50	27	21	20	21	20	26	17	44	26	22	22	42	55	46	52	72	56	58	66	72	111	82	94	105	101	112	114	255	255	0
16	45	54.693	0	0	2	7	18	1	0	0	69	24	64	45	55	32	22	20	26	12	31	23	37	18	13	11	13	4	12	13	27	7	4	4	36	20	36	37	44	27	20	18	16	18	20	11	34	22	21	19	34	58	39	43	59	51	58	68	67	109	69	84	95	98	112	111	255	255	0
16	45	54.791	0	0	0	3	11	1	0	0	53	16	43	31	39	22	15	14	28	12	28	16	32	17	13	10	1	0	1	1	14	4	1	1	37	17	33	32	37	22	19	16	20	18	21	18	28	20	17	15	44	62	49	51	64	58	64	74	72	111	83	98	106	106	113	114	255	255	0
16	45	54.791	0	0	0	0	14	1	0	0	70	25	64	59	56	34	24	21	26	12	28	20	35	17	11	9	14	5	15	1	28	11	7	6	33	17	35	36	43	24	17	13	22	21	22	20	34	23	19	17	41	59	46	26	65	59	63	72	74	113	82	121	107	105	115	113	255	255	0
16	45	54.89	0	0	0	0	11	2	0	0	43	17	45	55	47	24	17	16	14	6	11	0	21	8	4	5	13	4	12	0	24	10	7	7	32	14	30	60	42	21	14	12	48	25	32	63	49	31	24	21	44	59	47	0	59	56	61	72	76	113	83	115	110	106	114	110	255	255	0
16	45	54.89	20	0	0	0	17	0	0	0	46	18	52	35	49	27	17	14	46	0	0	0	16	0	0	0	34	4	11	7	25	8	4	4	52	13	29	26	41	19	12	11	34	19	26	27	43	25	21	20	43	58	46	50	66	56	59	72	78	118	86	95	113	111	121	114	255	255	0
16	45	54.986	7	0	0	0	12	0	0	0	49	21	60	72	54	32	21	20	42	0	0	10	11	1	0	0	35	3	11	0	18	7	4	4	50	14	31	36	36	22	14	14	65	23	35	52	47	31	27	24	63	58	47	34	61	57	60	69	84	112	80	75	103	108	119	115	255	255	0
16	45	54.986	39	0	0	0	10	1	0	0	51	15	42	33	46	25	16	14	38	0	0	16	13	3	2	3	40	6	16	0	23	12	6	7	51	14	30	7	34	21	14	14	53	23	28	62	43	33	26	24	64	66	51	34	63	60	65	79	84	111	77	55	99	102	115	108	255	255	0
16	45	55.085	38	0	0	0	8	2	0	1	47	13	39	5	41	22	15	14	43	0	26	52	32	18	11	11	40	3	7	0	21	9	5	5	46	11	31	0	39	20	13	13	34	27	31	32	51	32	26	24	53	68	58	64	76	71	69	76	81	111	83	67	98	103	117	115	255	255	0
16	45	55.085	2	0	0	0	10	1	0	0	47	14	41	27	39	22	14	13	20	6	17	13	29	11	6	6	19	5	13	7	22	7	4	4	40	17	37	31	45	24	16	16	26	23	27	29	44	28	25	25	61	70	61	68	81	70	70	78	85	110	84	50	96	102	116	113	255	255	0
16	45	55.181	21	0	0	0	12	1	0	0	40	11	32	0	39	23	16	14	36	7	18	54	25	11	7	6	30	4	12	39	21	8	5	4	49	16	40	13	39	24	16	17	40	21	27	29	38	27	22	20	65	69	60	73	75	70	71	80	85	110	85	79	103	103	112	113	255	255	0
16	45	55.181	17	0	1	1	10	0	0	0	45	13	34	26	36	19	15	15	35	7	16	13	26	11	6	6	31	4	11	8	16	7	4	3	56	21	47	28	48	29	23	22	40	23	30	23	45	28	26	22	58	69	60	84	79	66	69	80	72	107	79	74	96	100	110	114	255	255	0
16	45	55.278	4	0	0	0	21	1	0	0	35	11	42	28	47	21	16	15	1	4	14	13	35	10	7	7	17	6	14	16	29	8	5	4	42	18	40	27	45	23	17	16	24	22	26	23	46	25	22	19	53	67	56	65	80	65	68	77	77	115	86	91	104	105	114	116	255	255	0
16	45	55.278	2	1	1	1	17	1	0	0	37	11	31	23	39	19	14	13	13	5	14	10	29	9	7	7	16	5	12	11	31	8	5	6	36	15	31	28	45	20	15	14	20	20	22	24	43	22	20	19	50	65	50	57	75	61	67	77	75	109	79	91	103	100	114	115	255	255	0
16	45	55.378	4	0	1	2	23	1	0	0	44	11	34	21	41	20	11	13	13	4	11	8	29	7	5	5	16	5	12	15	29	8	5	5	38	15	33	29	38	20	14	15	18	18	19	14	36	22	19	17	48	65	53	60	74	61	66	76	75	113	81	92	104	103	119	120	255	255	0
16	45	55.378	2	0	1	7	29	3	0	0	40	12	36	23	47	18	11	10	13	4	13	9	33	8	2	4	8	6	16	15	41	11	7	7	40	16	37	33	53	24	17	16	19	18	20	18	42	22	19	16	48	63	51	52	77	59	64	74	76	113	84	90	106	105	114	118	255	255	0
16	45	55.476	0	0	0	1	29	3	0	1	31	9	24	20	42	14	8	10	0	0	0	0	26	7	4	4	13	4	11	9	35	10	5	5	34	15	33	30	49	22	14	13	17	18	19	18	39	21	18	16	42	62	51	53	76	60	63	75	77	115	88	96	109	112	118	121	255	255	0
16	45	55.476	0	0	0	0	25	3	0	0	41	15	40	33	51	24	16	14	12	5	13	8	30	9	6	5	18	6	16	12	34	11	7	6	39	16	35	37	53	24	16	17	23	23	26	24	46	25	22	20	53	65	57	55	81	63	66	76	86	118	97	103	120	114	120	122	255	255	0
16	45	55.572	0	0	0	0	20	3	0	0	46	15	39	37	47	24	15	13	0	0	0	0	15	1	0	0	19	7	16	12	33	10	7	6	42	16	38	34	49	24	17	16	26	24	27	29	48	29	25	23	51	64	56	55	77	63	65	76	85	119	92	96	111	113	120	120	255	255	0
16	45	55.572	0	0	0	0	21	4	0	0	52	15	40	45	53	25	15	14	0	0	0	0	19	2	0	0	21	6	16	14	35	11	6	5	40	16	38	35	53	26	17	16	28	23	27	28	50	28	22	23	49	59	53	55	78	63	63	75	88	124	99	105	118	120	126	125	255	255	0
16	45	55.671	0	0	0	0	24	2	0	0	53	19	53	45	61	31	19	19	1	0	1	0	18	3	0	0	15	5	12	9	29	10	5	5	40	15	40	29	54	24	16	14	31	26	32	32	54	34	27	25	50	60	53	55	77	61	63	74	97	129	106	109	124	124	134	131	255	255	0
16	45	55.671	0	0	0	0	22	1	0	0	45	14	38	37	54	21	15	11	47	0	0	1	24	2	0	0	20	7	21	16	36	12	7	6	41	15	37	35	54	24	17	16	45	26	35	36	59	33	26	29	63	61	59	59	77	64	65	77	97	127	107	111	124	122	131	130	255	255	0
16	45	55.767	41	0	0	0	21	3	0	0	42	10	27	30	41	16	10	9	27	0	2	3	21	3	0	0	27	1	2	0	21	2	0	0	44	15	37	35	50	24	17	16	27	22	30	30	55	29	24	24	51	61	54	53	74	59	61	73	98	128	103	109	121	124	135	130	255	255	0
16	45	55.767	16	0	0	0	20	3	0	0	43	12	31	32	44	19	12	13	13	0	1	4	28	2	0	0	10	5	10	10	30	6	3	3	41	17	46	47	60	31	22	20	20	30	39	41	66	44	31	29	46	63	55	56	75	62	66	83	89	126	98	97	111	118	127	118	255	255	0
16	45	55.866	1	0	0	0	16	2	0	0	37	8	26	25	41	18	10	9	7	0	1	2	26	4	0	0	14	4	13	24	35	15	8	7	60	21	52	50	57	35	22	21	41	31	44	45	68	49	33	32	56	64	59	59	79	65	66	83	94	128	99	101	113	116	128	122	255	255	0
16	45	55.866	8	0	0	0	20	2	0	0	35	8	27	22	42	14	8	8	7	0	0	1	25	5	0	0	29	9	27	25	41	15	9	8	49	14	34	32	45	21	14	16	52	34	46	47	71	48	34	30	62	65	61	63	79	63	65	85	96	124	97	95	110	112	125	118	255	255	0
